Structure	description
L_bankssts_grayvol	Volume of bankssts (left hemisphere)
L_caudalanteriorcingulate_grayvol	Volume of caudalanteriorcingulate (left hemisphere)
L_caudalmiddlefrontal_grayvol	Volume of caudalmiddlefrontal (left hemisphere)
L_cuneus_grayvol	Volume of cuneus (left hemisphere)
L_entorhinal_grayvol	Volume of entorhinal (left hemisphere)
L_fusiform_grayvol	Volume of fusiform (left hemisphere)
L_inferiorparietal_grayvol	Volume of inferiorparietal (left hemisphere)
L_inferiortemporal_grayvol	Volume of inferiortemporal (left hemisphere)
L_isthmuscingulate_grayvol	Volume of isthmuscingulate (left hemisphere)
L_lateraloccipital_grayvol	Volume of lateraloccipital (left hemisphere)
L_lateralorbitofrontal_grayvol	Volume of lateralorbitofrontal (left hemisphere)
L_lingual_grayvol	Volume of lingual (left hemisphere)
L_medialorbitofrontal_grayvol	Volume of medialorbitofrontal (left hemisphere)
L_middletemporal_grayvol	Volume of middletemporal (left hemisphere)
L_parahippocampal_grayvol	Volume of parahippocampal (left hemisphere)
L_paracentral_grayvol	Volume of paracentral (right hemisphere)
L_parsopercularis_grayvol	Volume of parsopercularis (left hemisphere)
L_parsorbitalis_grayvol	Volume of parsorbitalis (left hemisphere)
L_parstriangularis_grayvol	Volume of parstriangularis (left hemisphere)
L_pericalcarine_grayvol	Volume of pericalcarine (left hemisphere)
L_postcentral_grayvol	Volume of postcentral (left hemisphere)
L_posteriorcingulate_grayvol	Volume of posteriorcingulate (left hemisphere)
L_precentral_grayvol	Volume of precentral (left hemisphere)
L_precuneus_grayvol	Volume of precuneus (left hemisphere)
L_rostralanteriorcingulate_grayvol	Volume of rostralanteriorcingulate (left hemisphere)
L_rostralmiddlefrontal_grayvol	Volume of rostralmiddlefrontal (left hemisphere)
L_superiorfrontal_grayvol	Volume of superiorfrontal (left hemisphere)
L_superiorparietal_grayvol	Volume of superiorparietal (left hemisphere)
L_superiortemporal_grayvol	Volume of superiortemporal (left hemisphere)
L_supramarginal_grayvol	Volume of supramarginal (left hemisphere)
L_frontalpole_grayvol	Volume of frontalpole (left hemisphere)
L_temporalpole_grayvol	
L_transversetemporal_grayvol	Volume of transversetemporal (left hemisphere)
L_insula_grayvol	Volume of insula (left hemisphere)
R_bankssts_grayvol	Volume of bankssts (right hemisphere)
R_caudalanteriorcingulate_grayvol	Volume of caudalanteriorcingulate (right hemisphere)
R_caudalmiddlefrontal_grayvol	Volume of caudalmiddlefrontal (right hemisphere)
R_cuneus_grayvol	Volume of cuneus (right hemisphere)
R_entorhinal_grayvol	Volume of entorhinal (right hemisphere)
R_fusiform_grayvol	Volume of fusiform (right hemisphere)
R_inferiorparietal_grayvol	Volume of inferiorparietal (right hemisphere)
R_inferiortemporal_grayvol	Volume of inferiortemporal (right hemisphere)
R_isthmuscingulate_grayvol	Volume of isthmuscingulate (right hemisphere)
R_lateraloccipital_grayvol	Volume of lateraloccipital (right hemisphere)
R_lateralorbitofrontal_grayvol	Volume of lateralorbitofrontal (right hemisphere)
R_lingual_grayvol	Volume of lingual (right hemisphere)
R_medialorbitofrontal_grayvol	Volume of medialorbitofrontal (right hemisphere)
R_middletemporal_grayvol	Volume of middletemporal (right hemisphere)
R_parahippocampal_grayvol	Volume of parahippocampal (right hemisphere)
R_paracentral_grayvol	Volume of paracentral (right hemisphere)
R_parsopercularis_grayvol	Volume of parsopercularis (right hemisphere)
R_parsorbitalis_grayvol	Volume of parsorbitalis (right hemisphere)
R_parstriangularis_grayvol	Volume of parstriangularis (right hemisphere)
R_pericalcarine_grayvol	Volume of pericalcarine (right hemisphere)
R_postcentral_grayvol	Volume of postcentral (right hemisphere)
R_posteriorcingulate_grayvol	Volume of posteriorcingulate (right hemisphere)
R_precentral_grayvol	Volume of precentral (right hemisphere)
R_precuneus_grayvol	Volume of precuneus (right hemisphere)
R_rostralanteriorcingulate_grayvol	Volume of rostralanteriorcingulate (right hemisphere)
R_rostralmiddlefrontal_grayvol	Volume of rostralmiddlefrontal (right hemisphere)
R_superiorfrontal_grayvol	Volume of superiorfrontal (right hemisphere)
R_superiorparietal_grayvol	Volume of superiorparietal (right hemisphere)
R_superiortemporal_grayvol	Volume of superiortemporal (right hemisphere)
R_supramarginal_grayvol	Volume of supramarginal (right hemisphere)
R_frontalpole_grayvol	Volume of frontalpole (right hemisphere)
R_temporalpole_grayvol	
R_transversetemporal_grayvol	Volume of transversetemporal (right hemisphere)
R_insula_grayvol	Volume of insula (right hemisphere)
