Structure	description
left-accumbens	Volume of Accumbens-area (left hemisphere)
left-amygdala	Volume of Amygdala (left hemisphere)
left-caudate	Volume of Caudate (left hemisphere)
left-hippocampus	Volume of Hippocampus (left hemisphere)
left-pallidum	Volume of Pallidum (left hemisphere)
left-putamen	Volume of Putamen (left hemisphere)
left-thalamus	Volume of Thalamus-Proper (left hemisphere)
left-ventricles	Volume of Lateral-Ventricle (left hemisphere)
right-accumbens	Volume of Accumbens-area (right hemisphere)
right-amygdala	Volume of Amygdala (right hemisphere)
right-caudate	Volume of Caudate (right hemisphere)
right-hippocampus	Volume of Hippocampus (right hemisphere)
right-pallidum	Volume of Pallidum (right hemisphere)
right-putamen	Volume of Putamen (right hemisphere)
right-thalamus	Volume of Thalamus-Proper (right hemisphere)
right-ventricles	Volume of Lateral-Ventricle (right hemisphere)
