Structure	description
L_bankssts_surfarea	Area of bankssts (left hemisphere)
L_caudalanteriorcingulate_surfarea	Area of caudalanteriorcingulate (left hemisphere)
L_caudalmiddlefrontal_surfarea	Area of caudalmiddlefrontal (left hemisphere)
L_cuneus_surfarea	Area of cuneus (left hemisphere)
L_entorhinal_surfarea	Area of entorhinal (left hemisphere)
L_fusiform_surfarea	Area of fusiform (left hemisphere)
L_inferiorparietal_surfarea	Area of inferiorparietal (left hemisphere)
L_inferiortemporal_surfarea	Area of inferiortemporal (left hemisphere)
L_isthmuscingulate_surfarea	Area of isthmuscingulate (left hemisphere)
L_lateraloccipital_surfarea	Area of lateraloccipital (left hemisphere)
L_lateralorbitofrontal_surfarea	Area of lateralorbitofrontal (left hemisphere)
L_lingual_surfarea	Area of lingual (left hemisphere)
L_medialorbitofrontal_surfarea	Area of medialorbitofrontal (left hemisphere)
L_middletemporal_surfarea	Area of middletemporal (left hemisphere)
L_parahippocampal_surfarea	Area of parahippocampal (left hemisphere)
L_paracentral_surfarea	Area of paracentral (right hemisphere)
L_parsopercularis_surfarea	Area of parsopercularis (left hemisphere)
L_parsorbitalis_surfarea	Area of parsorbitalis (left hemisphere)
L_parstriangularis_surfarea	Area of parstriangularis (left hemisphere)
L_pericalcarine_surfarea	Area of pericalcarine (left hemisphere)
L_postcentral_surfarea	Area of postcentral (left hemisphere)
L_posteriorcingulate_surfarea	Area of posteriorcingulate (left hemisphere)
L_precentral_surfarea	Area of precentral (left hemisphere)
L_precuneus_surfarea	Area of precuneus (left hemisphere)
L_rostralanteriorcingulate_surfarea	Area of rostralanteriorcingulate (left hemisphere)
L_rostralmiddlefrontal_surfarea	Area of rostralmiddlefrontal (left hemisphere)
L_superiorfrontal_surfarea	Area of superiorfrontal (left hemisphere)
L_superiorparietal_surfarea	Area of superiorparietal (left hemisphere)
L_superiortemporal_surfarea	Area of superiortemporal (left hemisphere)
L_supramarginal_surfarea	Area of supramarginal (left hemisphere)
L_frontalpole_surfarea	Area of frontalpole (left hemisphere)
L_temporalpole_surfarea	
L_transversetemporal_surfarea	Area of transversetemporal (left hemisphere)
L_insula_surfarea	Area of insula (left hemisphere)
R_bankssts_surfarea	Area of bankssts (right hemisphere)
R_caudalanteriorcingulate_surfarea	Area of caudalanteriorcingulate (right hemisphere)
R_caudalmiddlefrontal_surfarea	Area of caudalmiddlefrontal (right hemisphere)
R_cuneus_surfarea	Area of cuneus (right hemisphere)
R_entorhinal_surfarea	Area of entorhinal (right hemisphere)
R_fusiform_surfarea	Area of fusiform (right hemisphere)
R_inferiorparietal_surfarea	Area of inferiorparietal (right hemisphere)
R_inferiortemporal_surfarea	Area of inferiortemporal (right hemisphere)
R_isthmuscingulate_surfarea	Area of isthmuscingulate (right hemisphere)
R_lateraloccipital_surfarea	Area of lateraloccipital (right hemisphere)
R_lateralorbitofrontal_surfarea	Area of lateralorbitofrontal (right hemisphere)
R_lingual_surfarea	Area of lingual (right hemisphere)
R_medialorbitofrontal_surfarea	Area of medialorbitofrontal (right hemisphere)
R_middletemporal_surfarea	Area of middletemporal (right hemisphere)
R_parahippocampal_surfarea	Area of parahippocampal (right hemisphere)
R_paracentral_surfarea	Area of paracentral (right hemisphere)
R_parsopercularis_surfarea	Area of parsopercularis (right hemisphere)
R_parsorbitalis_surfarea	Area of parsorbitalis (right hemisphere)
R_parstriangularis_surfarea	Area of parstriangularis (right hemisphere)
R_pericalcarine_surfarea	Area of pericalcarine (right hemisphere)
R_postcentral_surfarea	Area of postcentral (right hemisphere)
R_posteriorcingulate_surfarea	Area of posteriorcingulate (right hemisphere)
R_precentral_surfarea	Area of precentral (right hemisphere)
R_precuneus_surfarea	Area of precuneus (right hemisphere)
R_rostralanteriorcingulate_surfarea	Area of rostralanteriorcingulate (right hemisphere)
R_rostralmiddlefrontal_surfarea	Area of rostralmiddlefrontal (right hemisphere)
R_superiorfrontal_surfarea	Area of superiorfrontal (right hemisphere)
R_superiorparietal_surfarea	Area of superiorparietal (right hemisphere)
R_superiortemporal_surfarea	Area of superiortemporal (right hemisphere)
R_supramarginal_surfarea	Area of supramarginal (right hemisphere)
R_frontalpole_surfarea	Area of frontalpole (right hemisphere)
R_temporalpole_surfarea	
R_transversetemporal_surfarea	Area of transversetemporal (right hemisphere)
R_insula_surfarea	Area of insula (right hemisphere)
