Structure	description
L_bankssts_thickavg	Mean thickness of bankssts (left hemisphere)
L_caudalanteriorcingulate_thickavg	Mean thickness of caudalanteriorcingulate (left hemisphere)
L_caudalmiddlefrontal_thickavg	Mean thickness of caudalmiddlefrontal (left hemisphere)
L_cuneus_thickavg	Mean thickness of cuneus (left hemisphere)
L_entorhinal_thickavg	Mean thickness of entorhinal (left hemisphere)
L_fusiform_thickavg	Mean thickness of fusiform (left hemisphere)
L_inferiorparietal_thickavg	Mean thickness of inferiorparietal (left hemisphere)
L_inferiortemporal_thickavg	Mean thickness of inferiortemporal (left hemisphere)
L_isthmuscingulate_thickavg	Mean thickness of isthmuscingulate (left hemisphere)
L_lateraloccipital_thickavg	Mean thickness of lateraloccipital (left hemisphere)
L_lateralorbitofrontal_thickavg	Mean thickness of lateralorbitofrontal (left hemisphere)
L_lingual_thickavg	Mean thickness of lingual (left hemisphere)
L_medialorbitofrontal_thickavg	Mean thickness of medialorbitofrontal (left hemisphere)
L_middletemporal_thickavg	Mean thickness of middletemporal (left hemisphere)
L_parahippocampal_thickavg	Mean thickness of parahippocampal (left hemisphere)
L_paracentral_thickavg	Mean thickness of paracentral (right hemisphere)
L_parsopercularis_thickavg	Mean thickness of parsopercularis (left hemisphere)
L_parsorbitalis_thickavg	Mean thickness of parsorbitalis (left hemisphere)
L_parstriangularis_thickavg	Mean thickness of parstriangularis (left hemisphere)
L_pericalcarine_thickavg	Mean thickness of pericalcarine (left hemisphere)
L_postcentral_thickavg	Mean thickness of postcentral (left hemisphere)
L_posteriorcingulate_thickavg	Mean thickness of posteriorcingulate (left hemisphere)
L_precentral_thickavg	Mean thickness of precentral (left hemisphere)
L_precuneus_thickavg	Mean thickness of precuneus (left hemisphere)
L_rostralanteriorcingulate_thickavg	Mean thickness of rostralanteriorcingulate (left hemisphere)
L_rostralmiddlefrontal_thickavg	Mean thickness of rostralmiddlefrontal (left hemisphere)
L_superiorfrontal_thickavg	Mean thickness of superiorfrontal (left hemisphere)
L_superiorparietal_thickavg	Mean thickness of superiorparietal (left hemisphere)
L_superiortemporal_thickavg	Mean thickness of superiortemporal (left hemisphere)
L_supramarginal_thickavg	Mean thickness of supramarginal (left hemisphere)
L_frontalpole_thickavg	Mean thickness of frontalpole (left hemisphere)
L_temporalpole_thickavg	
L_transversetemporal_thickavg	Mean thickness of transversetemporal (left hemisphere)
L_insula_thickavg	Mean thickness of insula (left hemisphere)
R_bankssts_thickavg	Mean thickness of bankssts (right hemisphere)
R_caudalanteriorcingulate_thickavg	Mean thickness of caudalanteriorcingulate (right hemisphere)
R_caudalmiddlefrontal_thickavg	Mean thickness of caudalmiddlefrontal (right hemisphere)
R_cuneus_thickavg	Mean thickness of cuneus (right hemisphere)
R_entorhinal_thickavg	Mean thickness of entorhinal (right hemisphere)
R_fusiform_thickavg	Mean thickness of fusiform (right hemisphere)
R_inferiorparietal_thickavg	Mean thickness of inferiorparietal (right hemisphere)
R_inferiortemporal_thickavg	Mean thickness of inferiortemporal (right hemisphere)
R_isthmuscingulate_thickavg	Mean thickness of isthmuscingulate (right hemisphere)
R_lateraloccipital_thickavg	Mean thickness of lateraloccipital (right hemisphere)
R_lateralorbitofrontal_thickavg	Mean thickness of lateralorbitofrontal (right hemisphere)
R_lingual_thickavg	Mean thickness of lingual (right hemisphere)
R_medialorbitofrontal_thickavg	Mean thickness of medialorbitofrontal (right hemisphere)
R_middletemporal_thickavg	Mean thickness of middletemporal (right hemisphere)
R_parahippocampal_thickavg	Mean thickness of parahippocampal (right hemisphere)
R_paracentral_thickavg	Mean thickness of paracentral (right hemisphere)
R_parsopercularis_thickavg	Mean thickness of parsopercularis (right hemisphere)
R_parsorbitalis_thickavg	Mean thickness of parsorbitalis (right hemisphere)
R_parstriangularis_thickavg	Mean thickness of parstriangularis (right hemisphere)
R_pericalcarine_thickavg	Mean thickness of pericalcarine (right hemisphere)
R_postcentral_thickavg	Mean thickness of postcentral (right hemisphere)
R_posteriorcingulate_thickavg	Mean thickness of posteriorcingulate (right hemisphere)
R_precentral_thickavg	Mean thickness of precentral (right hemisphere)
R_precuneus_thickavg	Mean thickness of precuneus (right hemisphere)
R_rostralanteriorcingulate_thickavg	Mean thickness of rostralanteriorcingulate (right hemisphere)
R_rostralmiddlefrontal_thickavg	Mean thickness of rostralmiddlefrontal (right hemisphere)
R_superiorfrontal_thickavg	Mean thickness of superiorfrontal (right hemisphere)
R_superiorparietal_thickavg	Mean thickness of superiorparietal (right hemisphere)
R_superiortemporal_thickavg	Mean thickness of superiortemporal (right hemisphere)
R_supramarginal_thickavg	Mean thickness of supramarginal (right hemisphere)
R_frontalpole_thickavg	Mean thickness of frontalpole (right hemisphere)
R_temporalpole_thickavg	
R_transversetemporal_thickavg	Mean thickness of transversetemporal (right hemisphere)
R_insula_thickavg	Mean thickness of insula (right hemisphere)
