varName,varType,n,beta,lower,upper,pvalue
"120015",INTEGER,8108,0.0286927732539176,-0.0620626774635702,0.119448223971405,0.535496894392713
"120022",INTEGER,65929,-0.0154619078936369,-0.0604867147286933,0.0295628989414194,0.500898157525409
"120023",INTEGER,59357,-0.0352834743782271,-0.0821587265272715,0.0115917777708173,0.140134059903459
"120024",INTEGER,59341,0.000864078801127004,-0.0759396602433859,0.0776678178456399,0.982407397339861
"120025",INTEGER,59306,-0.028199287779559,-0.0560992308135937,-0.000299344745524292,0.0475926052032945
"120026",INTEGER,59313,0.000449957257533757,-0.0263775352934248,0.0272774498084923,0.973775497281155
"120027",INTEGER,59289,-0.0249899232351851,-0.0675331363958496,0.0175532899254794,0.249611083940572
"120028",INTEGER,59186,-0.00620751393818496,-0.0360889685202386,0.0236739406438687,0.683887176851198
"120029",INTEGER,59338,0.0138484517207436,-0.013167663533836,0.0408645669753232,0.315047667930294
"120030",INTEGER,59287,0.000552511042753992,-0.0363461682288546,0.0374511903143626,0.976586728674292
"120031",INTEGER,59327,-0.0103731234648809,-0.039362066054516,0.0186158191247541,0.483088939230131
"120033",INTEGER,59317,-0.00103902015512264,-0.0310878104862362,0.0290097701759909,0.945967020493716
"120034",INTEGER,59225,0.0183614558094268,-0.0135356872258963,0.0502585988447499,0.259212285596884
"120035",INTEGER,59225,-0.00850858979539932,-0.077269676222875,0.0602524966320764,0.808367991576583
"120040",CAT-SIN,117915,0.00734781835484242,-0.011482443526716,0.0261780802364009,0.444381435330531
"120041",CAT-SIN,117902,0.00482894465520145,-0.0139031515423717,0.0235610408527746,0.613371457188882
"120042",CAT-SIN,117909,0.0116269346054255,-0.00875524522757996,0.0320091144384309,0.263537532473289
"120054",INTEGER,38437,0.00521072446986247,-0.0276467660947771,0.038068215034502,0.755933257284715
"120058",CAT-SIN,38239,0.00494824008816704,-0.0275730714820254,0.0374695516583595,0.765535823168
"120059",CAT-SIN,38401,-0.00597758276325079,-0.0397067962896384,0.0277516307631368,0.728325399982341
"120060",CAT-SIN,38538,0.00120627901525028,-0.0335349610304909,0.0359475190609915,0.94574239384826
"120061",CAT-SIN,38108,-0.0248350733497113,-0.0572107552534186,0.00754060855399597,0.132719199969879
"120062",CAT-SIN,38792,-0.0254352696755212,-0.0568787557752081,0.00600821642416577,0.112864680701181
"120063",CAT-SIN,38742,-0.0258399338489384,-0.057932945940282,0.00625307824240512,0.114548749597023
"120064",CAT-SIN,38676,-0.00275405158553914,-0.0343624782950482,0.0288543751239699,0.864401282167322
"120070",INTEGER,24441,-0.00142260653671209,-0.0419422249610241,0.0390970118875999,0.945138399193913
"120086",INTEGER,59250,-0.0119235836806671,-0.0364303130262336,0.0125831456648993,0.340277508713927
"120087",INTEGER,59101,-0.00593622980395539,-0.0316617762569847,0.0197893166490739,0.651072855889443
"120088",INTEGER,59136,-0.0123984553742718,-0.0370128970720634,0.0122159863235199,0.323516871016825
"120089",INTEGER,59227,-0.00188822213089839,-0.0269621585633018,0.023185714301505,0.88265888365477
"120090",CAT-SIN,23752,0.0224481487028095,-0.0163967526146289,0.0612930500202479,0.257365212576407
"120091",INTEGER,59246,-0.00367737862860459,-0.0284625398617683,0.0211077826045591,0.771201069371333
"120092",INTEGER,59206,0.0068293853983547,-0.0186265434327376,0.032285314229447,0.599005451724082
"120093",INTEGER,59228,-0.00554440642698803,-0.0310270829849197,0.0199382701309437,0.669782978307532
"120094",INTEGER,59143,-0.00312719967671528,-0.0280134960587054,0.0217590967052748,0.805456570697234
"120095",INTEGER,59175,-0.0203654948350055,-0.0490545723623831,0.00832358269237216,0.164126435224745
"120096",INTEGER,59264,-5.01790855789709e-05,-0.0251071788660721,0.0250068206949141,0.996868251645499
"120097",INTEGER,59244,0.00590822998154021,-0.018905318940183,0.0307217789032634,0.64072641285234
"120098",CAT-SIN,117981,-0.00118939575041974,-0.022921003073909,0.0205422115730695,0.914572551274447
"120099",CAT-SIN,117981,0.00174460530349158,-0.0328896413969161,0.0363788520038993,0.921353109488681
"120100",CAT-SIN,117981,-0.00774626349463755,-0.0287725954521371,0.013280068462862,0.470247232022832
"120101",CAT-SIN,117981,0.00557728432175522,-0.0132187199621677,0.0243732886056781,0.560847248670132
"120102",CAT-SIN,117981,0.0115301387577497,-0.0115280556465437,0.0345883331620431,0.327044428528789
"120104",CAT-SIN,117676,-0.00389756943346448,-0.0270989408011852,0.0193038019342563,0.741961307108679
"120105",CAT-SIN,117547,0.0098705214057851,-0.014019327565902,0.0337603703774722,0.418051424529764
"120106",CAT-SIN,117775,0.0150633006742357,-0.00376650498923684,0.0338931063377082,0.1168970318124
"120107",CAT-SIN,117743,0.000182784984431532,-0.0189769002254195,0.0193424701942825,0.98508160678624
"120108",CAT-SIN,117815,-0.0027067069730843,-0.0273945190377519,0.0219811050915833,0.829854030581318
"120110",CAT-SIN,117802,0.0237011727523761,-0.00151861830700687,0.0489209638117591,0.0654808905744715
"120111",CAT-SIN,117753,-3.42950292249269e-05,-0.0376594648094125,0.0375908747509626,0.998574564113087
"120112",CAT-SIN,117246,0.0137454114831416,-0.0369491747626156,0.0644399977288988,0.595116616292179
"120113",CAT-SIN,81486,-0.014505271637313,-0.0403153925894698,0.0113048493148438,0.270674199648375
"120119",INTEGER,66776,0.000628611193335498,-0.0227741173739911,0.0240313397606621,0.958013513526751
"120121",INTEGER,66894,0.0111316146053315,-0.0120272439319059,0.0342904731425689,0.346144760391571
"120120",INTEGER,66595,0.0142168027208026,-0.00915987042587005,0.0375934758674752,0.233266519660945
"120122",INTEGER,66853,0.0087246601681066,-0.0144323632359079,0.0318816835721211,0.460242847295055
"120123",INTEGER,66852,0.00934340513963316,-0.0143608564193718,0.0330476666986382,0.439782816455403
"120124",INTEGER,66789,0.0150517984758212,-0.00849642227095506,0.0386000192225974,0.210278035735898
"120125",INTEGER,66850,0.00486034336148448,-0.0186537759813988,0.0283744627043678,0.6853833210776
"120126",INTEGER,66665,0.00776945388554459,-0.0161006586517792,0.0316395664228684,0.523503203318703
