23321_2|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: <4.44, bin 2: >=4.44AND < 4.5, bin 3: >=4.5 || cat N: 13286, 3905, 23370 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
23322_2|| INTEGER || CONTINUOUS || IRNT || SUCCESS results-linear
23323_2|| INTEGER || reassignments: 0=NA || CONTINUOUS || IRNT || SUCCESS results-linear
23324_2|| INTEGER || CONTINUOUS || IRNT || SUCCESS results-linear
24003_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24004_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24005_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24006_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24007_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24008_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24009_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: ==500, bin 2: > 500 AND <14014bin 3: >=14014 || cat N: 315841, 10208, 10213 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
24010_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24011_0|| INTEGER || CONTINUOUS || IRNT || SUCCESS results-linear
24012_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24013_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: ==0, bin 2: > 0 AND <2327654bin 3: >=2327654 || cat N: 290722, 22770, 22770 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
24014_0|| CAT-SINGLE || reassignments: 9=NA || Inc(>=10): 0(313246) || Inc(>=10): 1(23016) || CAT-SINGLE-BINARY || sample 313246/23016(336262) || SUCCESS results-logistic-binary 
24015_0|| CONTINUOUS MAIN || CONTINUOUS || >20% IN ONE CATEGORY || Bin 1: ==0, bin 2: > 0 AND <180.86bin 3: >=180.86 || cat N: 287627, 24313, 24322 || CAT-ORD || order: 0|1|2 || num categories: 3 || SUCCESS results-ordered-logistic
24016_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24017_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24018_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24019_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24020_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24021_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24022_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24500_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24501_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24502_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24503_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24504_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24505_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24506_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24507_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
24508_0|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25000_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25001_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25002_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25003_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25004_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25005_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25006_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25007_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25008_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25009_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25010_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25011_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25012_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25013_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25014_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25015_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25016_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25017_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25018_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25019_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25020_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25021_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25022_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25023_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25024_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25025_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25026_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25027_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25028_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25029_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25030_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25031_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25032_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25033_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25034_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25035_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25036_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25037_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25038_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25039_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25040_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25042_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25044_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25046_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25048_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25050_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25052_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25054_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25056_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25057_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25058_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25059_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25060_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25061_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25062_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25063_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25064_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25065_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25066_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25067_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25068_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25069_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25070_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25071_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25072_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25073_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25074_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25075_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25076_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25077_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25078_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25079_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25080_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25081_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25082_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25083_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25084_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25085_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25086_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25087_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
25088_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
