27387_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27388_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27389_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27390_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27391_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27392_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27393_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27394_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27395_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27396_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27397_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27398_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27399_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27400_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27401_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27402_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27403_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27404_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27405_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27406_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27407_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27408_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27409_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27410_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27411_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27412_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27413_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27414_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27415_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27416_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27417_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27418_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27419_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27420_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27421_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27422_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27423_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27424_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27425_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27426_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27427_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27428_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27429_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27430_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27431_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27432_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27433_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27434_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27435_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27436_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27437_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27438_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27439_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27440_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27441_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27442_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27443_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27444_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27445_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27446_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27447_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27448_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27449_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27450_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27451_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27452_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27453_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27454_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27455_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27456_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27457_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27458_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27459_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27460_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27461_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27462_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27463_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27464_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27465_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27466_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27467_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27468_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27469_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27470_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
27471_2|| CONTINUOUS MAIN || CONTINUOUS || IRNT || SUCCESS results-linear
