varName,varType,n,beta,lower,upper,pvalue
"40006#D047",CAT-MUL,340496/367(340863),-0.00012321652185564,-0.182328257551483,0.175874006198607,0.998923331135676
"40006#D035",CAT-MUL,340499/364(340863),-0.025870829685808,-0.210411845593946,0.152160466867831,0.779542530129242
"40006#C441",CAT-MUL,340029/834(340863),-0.0190760154117564,-0.139811889289336,0.0988780420351375,0.753984433961591
"40006#C833",CAT-MUL,340020/843(340863),-0.0356583808821584,-0.156658352761867,0.0825116551027543,0.558797997887602
"40006#C449",CAT-MUL,327203/13660(340863),-0.00739649639413807,-0.0377823720989625,0.0228281633844193,0.63238596646646
"40006#C61",CAT-MUL,329719/11144(340863),-0.00396287044784069,-0.038383484650948,0.0302728245246158,0.82099085228701
"40006#C435",CAT-MUL,339665/1198(340863),-0.0575756528694144,-0.159572610406688,0.0423802373491636,0.263645693388281
"40006#C187",CAT-MUL,339411/1452(340863),0.117480970494555,0.0294160631842538,0.204175121322868,0.00839844407592932
"40006#D046",CAT-MUL,340671/192(340863),0.061909993012813,-0.18672324524612,0.299620757125719,0.617310487468171
"40006#C911",CAT-MUL,340164/699(340863),-0.0579475039123286,-0.191950648941535,0.0725479792431566,0.390259212838276
"40006#C182",CAT-MUL,340258/605(340863),-0.0701066750954312,-0.214804783392557,0.0704914566065729,0.33518897234542
"40006#C541",CAT-MUL,339100/1763(340863),-0.0414631295884932,-0.125479250120019,0.0411922043700729,0.329396476303085
"40006#C504",CAT-MUL,337188/3675(340863),0.0468369087371005,-0.00994958005874633,0.103041193373058,0.104161014635392
"40006#D069",CAT-MUL,338443/2420(340863),-0.0307394053796879,-0.102375513175551,0.0399217260398128,0.397051901373782
"40006#D469",CAT-MUL,340709/154(340863),-0.0510358977608365,-0.34012065413134,0.222239521779186,0.721542199599916
"40006#C64",CAT-MUL,339276/1587(340863),0.0126359044307465,-0.0741888912685067,0.0980397990231907,0.773606420206882
"40006#D051",CAT-MUL,338832/2031(340863),-0.0181208261992048,-0.0957324297425906,0.0583401470680575,0.644727176138123
"40006#C443",CAT-MUL,334632/6231(340863),-0.033323957917886,-0.0779453653394503,0.0109266994698159,0.141578058030153
"40006#C436",CAT-MUL,339888/975(340863),-0.0110952363251293,-0.122551184277413,0.0979812154346477,0.843614877458853
"40006#C442",CAT-MUL,340070/793(340863),0.0918854831810293,-0.0286199826522874,0.209821238675178,0.130768927507709
"40006#C432",CAT-MUL,340785/78(340863),-0.0134526480574923,-0.419086616700768,0.362466154294256,0.946017458190419
"40006#C341",CAT-MUL,339102/1761(340863),-0.00283556178694946,-0.0856539827425344,0.0786869707920294,0.946067806611534
"40006#D061",CAT-MUL,340558/305(340863),-0.0574094531110264,-0.265713170377979,0.142713388228781,0.58127247502293
"40006#C509",CAT-MUL,335441/5422(340863),-0.00310818430633116,-0.0507802647421612,0.0441528374769434,0.897873135068673
"40006#C570",CAT-MUL,340759/104(340863),-0.273101816357693,-0.657923995126208,0.0814457465435004,0.146342418350317
"40006#C446",CAT-MUL,339325/1538(340863),0.0100468252342989,-0.0780176741110773,0.0966568790247358,0.821584957154694
"40006#D045",CAT-MUL,340700/163(340863),-0.0369682642237884,-0.315435059772644,0.227042320546728,0.789018460279423
"40006#D090",CAT-MUL,339700/1163(340863),-0.0197053457501986,-0.122381912448122,0.0809591075077549,0.703971995169039
"40006#C155",CAT-MUL,340292/571(340863),0.0507011076052535,-0.0930358618460415,0.190658188686384,0.483373278323141
"40006#C447",CAT-MUL,339662/1201(340863),-0.0397977262321936,-0.1412007706562,0.0596139534025774,0.437133737100649
"40006#C502",CAT-MUL,339767/1096(340863),-0.0183295788072319,-0.124054407271026,0.0852475726219065,0.731316518195004
"40006#C445",CAT-MUL,338137/2726(340863),-0.0740285833716746,-0.141898854333631,-0.0070612320367466,0.0313694760475377
"40006#D010",CAT-MUL,340557/306(340863),0.0392747187893334,-0.158338203369501,0.229687829189857,0.691287371680137
"40006#C07",CAT-MUL,340767/96(340863),-0.120610399844442,-0.498071034235623,0.229413657941539,0.514467248027909
"40006#C811",CAT-MUL,340754/109(340863),0.289286089573288,-0.0229512436407298,0.586535863318715,0.062262995863281
"40006#C437",CAT-MUL,339690/1173(340863),-0.0865090736112958,-0.19076699712693,0.0155784967342146,0.100214299314831
"40006#C676",CAT-MUL,340827/36(340863),-0.284555157283237,-0.955132228104199,0.300346855081099,0.36992828558332
"40006#D034",CAT-MUL,340771/92(340863),-0.0977638000601534,-0.48167818117232,0.258132754867217,0.603305063980991
"40006#C505",CAT-MUL,340156/707(340863),-0.091989430254688,-0.226766239791685,0.0391708221608528,0.174941344547823
"40006#C914",CAT-MUL,340806/57(340863),0.115361240650925,-0.342226041343635,0.538198016566544,0.605946578738532
"40006#D075",CAT-MUL,340465/398(340863),0.0348779683146207,-0.138257282031984,0.202563776294144,0.688114826703491
"40006#C549",CAT-MUL,340814/49(340863),-0.202590629658316,-0.760088231298001,0.295243099832003,0.448809424805583
"40006#D320",CAT-MUL,340452/411(340863),-0.0592818353188503,-0.234831543118179,0.110247164271517,0.50038445473806
"40006#C674",CAT-MUL,340797/66(340863),-0.0640922607212314,-0.515239965042602,0.350012268680291,0.770591444176026
"40006#C920",CAT-MUL,340532/331(340863),-0.0813711152432946,-0.278590576342752,0.108250933149855,0.409219780856413
"40006#D067",CAT-MUL,340803/60(340863),-0.00307258850431784,-0.45993489665986,0.418387349048535,0.989011517136504
"40006#C185",CAT-MUL,340701/162(340863),-0.327156865651635,-0.637093680555528,-0.0376945553298339,0.0320214834676892
"40006#C01",CAT-MUL,340708/155(340863),-0.134592618018487,-0.42963600128434,0.143458783773158,0.356336832317355
"40006#C501",CAT-MUL,340327/536(340863),-0.126134393163524,-0.283136842316076,0.0258616793392804,0.109369102677761
"40006#C56",CAT-MUL,339626/1237(340863),0.00861789327616409,-0.0900313863260975,0.105432146817095,0.862755916314215
"40006#C760",CAT-MUL,340852/11(340863),-0.522335564530084,-1.9741725770478,0.560051809563404,0.402343813216312
"40006#C679",CAT-MUL,339743/1120(340863),0.0308167414186451,-0.0723622681038773,0.132019018995994,0.554376474092095
"40006#C165",CAT-MUL,340823/40(340863),0.183333841253686,-0.359554176953736,0.679785235654195,0.486675997951039
"40006#C629",CAT-MUL,340521/342(340863),-0.061029889848021,-0.253651637786421,0.124463738756641,0.526587423878866
"40006#D390",CAT-MUL,340790/73(340863),-0.246910469281975,-0.708472518458815,0.171605601884115,0.269238074759931
"40006#D001",CAT-MUL,340806/57(340863),-0.0713513901870821,-0.561661790899973,0.374532045784753,0.76397032395169
"40006#D033",CAT-MUL,340357/506(340863),-0.0233117152221697,-0.179318115756546,0.128042030939246,0.766106714211983
"40006#D036",CAT-MUL,340496/367(340863),0.063811624101749,-0.114619764449331,0.2364698690837,0.475866965661486
"40006#D333",CAT-MUL,340677/186(340863),0.00797862625021138,-0.249506962678645,0.253152806206002,0.950314810192504
"40006#C433",CAT-MUL,340575/288(340863),-0.0020435945662054,-0.208139170799925,0.196090897636912,0.984174141120365
"40006#C218",CAT-MUL,340849/14(340863),-0.462400526212561,-1.68857049685094,0.490779649535684,0.392820073373801
"40006#C830",CAT-MUL,340748/115(340863),-0.406853008289346,-0.788315078112677,-0.0565371247200408,0.0287872354967264
"40006#C73",CAT-MUL,340291/572(340863),0.0312103389226303,-0.113038648207275,0.171562778640115,0.667124974987044
"40006#C169",CAT-MUL,340670/193(340863),-0.0250298870364313,-0.280269406123345,0.21794824547469,0.843658073610527
