varName,varType,n,beta,lower,upper,pvalue
"4292-3",CAT-SIN,89922/112394,-999,-999,-999,0.917293906022305
"4292-3#0",CAT-SIN,89922#22199,0.00574175888724071,-0.0202944000196205,0.0317779177941019,0.665573373599646
"4292-3#2",CAT-SIN,89922#44,-0.14968757636091,-0.691267103127339,0.391891950405519,0.588014211969454
"4292-3#1",CAT-SIN,89922#229,-0.0120422673901298,-0.240169415100283,0.216084880320024,0.917596587532483
"4293-3",CAT-SIN,108064/112278,-999,-999,-999,0.66662559941603
"4293-3#1",CAT-SIN,108064#2436,-0.0146537375473322,-0.0855042228902991,0.0561967477956348,0.685204142457049
"4293-3#2",CAT-SIN,108064#1778,-0.0342582165356996,-0.117469256410866,0.0489528233394672,0.419711063846466
"4294-1",CAT-SIN,108064/112409,-999,-999,-999,0.0518966310677209
"4294-1#0",CAT-SIN,108064#4214,-0.0228901709490318,-0.0774454705215325,0.0316651286234688,0.410873972333281
"4294-1#9",CAT-SIN,108064#131,0.32803878813012,0.0539351772735974,0.602142398986643,0.0189952213848668
"4803-0",CAT-SIN,78508/110690,-999,-999,-999,0.659474113009599
"4803-0#14",CAT-SIN,78508#12212,0.022202051993046,-0.0111042230059601,0.055508326992052,0.191376722157943
"4803-0#13",CAT-SIN,78508#9884,-0.0116488045162718,-0.048565376112742,0.0252677670801983,0.536275469653578
"4803-0#12",CAT-SIN,78508#2783,-0.00897300192258645,-0.0756766033379529,0.05773059949278,0.792045512872702
"4803-0#11",CAT-SIN,78508#7303,0.00125888501016474,-0.0411909220673881,0.0437086920877176,0.953649544221029
"4849-1",CAT-SIN,110091/112534,-999,-999,-999,0.718914415833278
"4849-1#12",CAT-SIN,110091#629,0.0786053041643702,-0.0560987587134486,0.213309367042189,0.252740286426923
"4849-1#0",CAT-SIN,110091#1180,0.0121265980497977,-0.0885671456223222,0.112820341721918,0.81340206164504
"4849-1#11",CAT-SIN,110091#634,0.00453530202362633,-0.132339696765134,0.141410300812387,0.948219642184085
"4935-15",CAT-SIN,105345/108592,-999,-999,-999,0.184027808686895
"4935-15#17",CAT-SIN,105345#503,0.152799608066338,0.00553407775814418,0.300065138374531,0.0419901971894805
"4935-15#16",CAT-SIN,105345#1374,0.0671300516738521,-0.0245588298254602,0.158818933173164,0.151290396330587
"4935-15#14",CAT-SIN,105345#986,0.0126540113920764,-0.0970510640962405,0.122359086880393,0.82114428189378
"4935-15#13",CAT-SIN,105345#384,0.0370614550048753,-0.136887437119317,0.211010347129067,0.676247753698159
"4946-987",CAT-SIN,108994/109814,-999,-999,-999,0.405737131592385
"4946-987#714",CAT-SIN,108994#635,0.091061699072573,-0.042267521843355,0.224390919988501,0.180693217601626
"4946-987#642",CAT-SIN,108994#143,0.113812515142316,-0.165049740405737,0.392674770690368,0.423755206119279
"4946-987#253",CAT-SIN,108994#42,0.190560184238471,-0.311490320549251,0.692610689026193,0.456918022284648
"4957-4",CAT-SIN,93105/109460,-999,-999,-999,0.112811935509282
"4957-4#1",CAT-SIN,93105#11409,0.0412904735124198,0.00740530512603044,0.0751756418988091,0.0169266634076424
"4957-4#2",CAT-SIN,93105#4753,0.0174984551674038,-0.0335552625478715,0.0685521728826791,0.501730305142832
"4957-4#3",CAT-SIN,93105#69,-0.046532095167809,-0.467540836671693,0.374476646336075,0.828500208638678
"4957-4#5",CAT-SIN,93105#124,-0.195689355038089,-0.524439473910739,0.133060763834561,0.243342203998662
"4968-6",CAT-SIN,92623/99656,-999,-999,-999,0.587523259300666
"4968-6#5",CAT-SIN,92623#4857,-0.0114727650847844,-0.0622816711373923,0.0393361409678235,0.658080934138817
"4968-6#8",CAT-SIN,92623#1414,0.0583275119786502,-0.0322877931171399,0.14894281707444,0.207094528635884
"4968-6#7",CAT-SIN,92623#762,-0.0224424331222035,-0.148217155415557,0.10333228917115,0.726546307778099
"4979-4",CAT-SIN,52633/87972,-999,-999,-999,0.679907520275654
"4979-4#3",CAT-SIN,52633#12658,-0.00624866552539205,-0.0404567152694739,0.0279593842186898,0.720328490561428
"4979-4#1",CAT-SIN,52633#10147,0.0054935179303878,-0.0318036888133898,0.0427907246741655,0.772823403548113
"4979-4#2",CAT-SIN,52633#7990,0.0190511610434617,-0.0221840508186453,0.0602863729055687,0.365186367697715
"4979-4#5",CAT-SIN,52633#4544,0.0302276860186421,-0.0225264620639257,0.0829818341012099,0.261419238873193
"4990-69",CAT-SIN,66042/85704,-999,-999,-999,0.775036290648569
"4990-69#70",CAT-SIN,66042#18262,-0.00797963415275257,-0.0369012635561086,0.0209419952506034,0.588669793352456
"4990-69#68",CAT-SIN,66042#432,-0.00652375632325667,-0.172799263503232,0.159751750856719,0.938704337018146
"4990-69#71",CAT-SIN,66042#446,0.0810464497047197,-0.0786536007784927,0.240746500187932,0.319899003802927
"4990-69#72",CAT-SIN,66042#522,-0.054784566499874,-0.208562071604014,0.0989929386042663,0.485018283170075
"5001-3",CAT-SIN,69965/79699,-999,-999,-999,0.0042434592127859
"5001-3#1",CAT-SIN,69965#6803,-0.0405893834128967,-0.0849159738684309,0.0037372070426376,0.0726986416470108
"5001-3#5",CAT-SIN,69965#907,0.0958189926918132,-0.0163997889796607,0.208037774363287,0.0942225202623428
"5001-3#4",CAT-SIN,69965#708,0.124826019740659,-0.00107826372357017,0.250730303204889,0.0519945887935429
"5001-3#2",CAT-SIN,69965#1316,0.108011246684707,0.014747146546388,0.201275346823026,0.0232149704521132
"5012-26",CAT-SIN,46540/60571,-999,-999,-999,0.344342159623882
"5012-26#28",CAT-SIN,46540#1633,0.0240288344416889,-0.0621102140331039,0.110167882916482,0.584557475140462
"5012-26#25",CAT-SIN,46540#6824,-0.00997501297069796,-0.0549159814291366,0.0349659554877407,0.663540705859127
"5012-26#27",CAT-SIN,46540#2874,-0.0254630460329471,-0.0921480506060498,0.0412219585401557,0.454222578069448
"5012-26#29",CAT-SIN,46540#2700,-0.0666820936149247,-0.136240404150693,0.00287621692084336,0.0602554154300257
